"rowNumber","refId","name","status","leadTeam","departmentOwner","startDate","endDate","isOwner","opexBudget","capexBudget"
"3","ISPRJ-1","Digital Roadmap 2025 (Increase website and app conversion + indirect sales)","Completed","Digital Technology","Commercial","2025-01-01","2025-10-01","Xavier ROMANET","0","10795800"
"4","ISPRJ-85","Digital Roadmap 2026","Draft","Digital Technology","Commercial","2026-01-01","2026-01-01","Xavier ROMANET","0","0"
"5","ISPRJ-22","Onboarding Continental Teams to ACMS","Draft","Operations","Operations","2025-10-01","2026-01-01","Eva Wruszczak","0","0"
"6","ISPRJ-100","Group sales automation","Draft","Digital Technology","Commercial","2025-01-01","2025-10-01","Xavier ROMANET","0","0"
"7","ISPRJ-101","Loyalty as a currency","Draft","Digital Technology","Commercial","2025-01-01","2025-10-01","Xavier ROMANET","0","0"
"8","ISPRJ-102","Check out (Paypal NL+FR, WERO)","Draft","Digital Technology","Commercial","2025-01-01","2025-10-01","Xavier ROMANET","0","0"
"9","ISPRJ-103","MYB : upgrade optimisation, assistance aftersales, meal pref…","Draft","Digital Technology","Commercial","2025-01-01","2025-10-01","Xavier ROMANET","0","0"
"10","ISPRJ-104","E4B dashboard/invoices","Draft","Digital Technology","Commercial","2025-01-01","2025-10-01","Xavier ROMANET","0","0"
"11","ISPRJ-105","implement Aikido Code Analysis","Draft","Data & Middleware","Information Systems","2025-01-01","2025-10-01","Paolo RODEGHIERO","0","0"
"12","ISPRJ-106","Contact Centre - prj 5 - improve SF user friendliness & advisor efficiency","Draft","Customer","Commercial","2025-01-01","2025-10-01","Maël DELMAS","0","0"
"13","ISPRJ-107","Contact Centre - prj 6 - Gamification of the training, Knowledge reco","Draft","Customer","Commercial","2025-01-01","2025-10-01","Maël DELMAS","0","0"
"14","ISPRJ-14","HR Digitisation phase 1 : external payroll","Draft","Corp HR & Finance","Human Resources","2025-07-01","2026-01-01","Kristof ACKE","0","0"
"15","ISPRJ-38","Wifi on board POC","Draft","Operations","Operations","2024-01-01","2025-10-01","Vrushik PATEL","346034","219893"
"16","ISPRJ-75","Deferrals Equinox","Draft","Operations","Operations","2024-01-01","2025-10-01","Shaun KILPATRICK","0","126000"
"17","ISPRJ-6","New Amsterdam Station CIS","Completed","Customer","Station","2024-01-01","2025-04-01","Maël DELMAS","0","382000"
"18","ISPRJ-9","New Mobile Station Data solution (Spark / Station App) PHASE 2","Draft","Customer","Station","2026-04-01","2026-01-01","Luchano Bogdanov","0","350000"
"19","ISPRJ-112","EES v2","Draft","Digital Technology","Commercial","2025-01-01","2025-10-01","Xavier ROMANET","0","0"
"20","ISPRJ-113","SALESFORCE Technical - Data Cloud set-up","Draft","Customer","Commercial","2025-01-01","2025-10-01","Maël DELMAS","0","0"
"21","ISPRJ-12","PIS trainset & improvements","Draft","Operations","Operations","2026-01-01","2026-01-01","Wumi AKINSEYE","0","300000"
"22","ISPRJ-8","New Mobile Station Data solution (Mobile devices + Spark / Station App) PHASE 1 (2024 approval)","Completed","Customer","Station","2024-01-01","2025-04-01","Luchano Bogdanov","175006","606838"
"23","ISPRJ-10","Advanced Planning System APS (MASTERPLAN)","Draft","Operations","Operations","2026-01-01","2026-01-01","Maxime THONON","0","6000000"
"24","ISPRJ-54","Genetec (Access Control)","Draft","Corp HR & Finance","General Security","2024-01-01","2025-10-01","John ZIEBART","298464","439158"
"25","ISPRJ-110","MASTERPLAN (other)","Draft","Operations","Operations","2026-01-01","2026-01-01","Valérie VEYT","0","0"
"26","ISPRJ-97","Decommission Teams+","Draft","Operations","Operations","2026-01-01","2026-01-01","Gauthier DE LAVENNE","0","0"
"27","ISPRJ-18","Engineering App : TMI app migration (study)","Draft","Operations","Rolling Stock","2024-01-01","2025-10-01","Shaun KILPATRICK","0","150000"
"28","ISPRJ-86","HR Digitisation phase 2","Draft","Corp HR & Finance","Human Resources","2027-01-01","2027-01-01","Kristof ACKE","0","0"
"29","ISPRJ-67","TACT/iTM: align Continental and Cross-Channel apps (fault mgt process, reports…)","Draft","Customer","Operations","2026-01-01","2027-01-01","Gauthier LANGLOIS","0","170460"
"30","ISPRJ-5","Last Minute equipment change - automation of re-accommodations Phase 1","Draft","Customer","Operations","2025-04-01","2026-01-01","Maël DELMAS","0","443196"
"31","ISPRJ-55","Windows 11 Upgrade (Digital Workplace Transformation)","Completed","Infrastructure","Information Systems","2024-01-01","2025-10-01","Franck KOUDA","360000","0"
"32","ISPRJ-65","NIS 2","Draft","Cyber Security","Information Systems","2024-01-01","2027-01-01","Jérôme SOULIE","0","0"
"33","ISPRJ-19","Train Cancellations & Budget Analytics","Completed","Data & Middleware","Operations","2025-04-01","2025-07-01","Adam BUCKLEY-JONES","0","0"
"34","ISPRJ-78","IC RNE platform migration","Draft","Data & Middleware","Information Systems","2025-10-01","2026-01-01","Yann GOURDEL","0","150000"
"35","ISPRJ-16","Information System Recovery assurance","Draft","Cyber Security","Information Systems","2024-01-01","2026-01-01","Olivier Lepretre","0","0"
"36","ISPRJ-32","Stations Develop Mobile checkin (v2)","Completed","Customer","Station","2025-04-01","2025-10-01","Kamran Raja","31583","129140"
"37","ISPRJ-34","BMI new comms room & recabling","Completed","Infrastructure","Information Systems","2024-01-01","2025-10-01","Mathieu BALLOUCHE","0","158000"
"38","ISPRJ-3","Joint Customer Segmentation","Draft","Data & Middleware","Commercial","2025-01-01","2025-10-01","Adam BUCKLEY-JONES","0","0"
"39","ISPRJ-25","Finance Automation / Digitisation","Draft","Corp HR & Finance","Finance","2026-01-01","","Richard PARKER","0","0"
"40","ISPRJ-27","SVOT decommission","Draft","Data & Middleware","Information Systems","2024-01-01","2026-01-01","Yann GOURDEL","37500","0"
"41","ISPRJ-33","Legacy telco lines replacement in SPI and TMI","Draft","Infrastructure","Station","2025-04-01","2026-01-01","Mathieu BALLOUCHE","0","150000"
"42","ISPRJ-81","Beacons and Delay  Integration (MASTERPLAN)","Completed","Data & Middleware","Operations","2025-04-01","2025-10-01","Yann GOURDEL","0","0"
"43","ISPRJ-28","Migration of Euromap and Start on Time to DataHub","Completed","Operations","Operations","2024-01-01","2025-04-01","Gauthier DE LAVENNE","0","250000"
"44","ISPRJ-61","TM/TD Phone & Tablet Improvements","Draft","Infrastructure","Operations","2025-07-01","2026-01-01","Shailendra SHARMA","0","142000"
"45","ISPRJ-31","Totem+ v2","Completed","Operations","Operations","2024-01-01","2025-04-01","Patricia SOUEID","0","0"
"46","ISPRJ-56","Marketing Cloud: enable A/B testing, leverage Gen AI, enable ""Control Cell"" campaign...","Draft","Customer","Commercial","2025-01-01","2026-01-01","Edward BONILLA","136368","0"
"47","ISPRJ-4","VESPA","Draft","Operations","Rolling Stock","2024-01-01","2026-01-01","Vanessa HERNALSTEEN","0","253119"
"48","ISPRJ-21","Common Referentiels (MASTERPLAN)","Draft","Data & Middleware","Operations","2026-01-01","2026-01-01","Yann GOURDEL","0","0"
"49","ISPRJ-84","COSMOS: Tigre Replacement with SPID SNCF","Draft","Operations","Rolling Stock","2025-10-01","2027-01-01","Valérie VEYT","0","0"
"50","ISPRJ-35","New Paris Offices","Draft","Infrastructure","Finance","2026-01-01","2026-01-01","Mathieu BALLOUCHE","0","0"
"51","ISPRJ-98","Replacement DocThalys/Validme, Process+","Draft","Operations","Operations","2026-01-01","2027-01-01","Valérie VEYT","0","0"
"52","ISPRJ-37","Employee Exp Communication Platform (Workvivo)","Completed","Corp HR & Finance","Human Resources","2024-01-01","2025-04-01","John ZIEBART","0","136368"
"53","ISPRJ-111","Stations MASTERPLAN","Draft","Customer","Station","2026-01-01","2027-01-01","Maël DELMAS","0","0"
"54","ISPRJ-40","Passport e-gate replacement (SPI)","Completed","Customer","Station","2024-01-01","2025-01-01","Eric QIU","0","2360000"
"55","ISPRJ-41","Network Acces Control (Blue ISE) (Network Security 1)","Completed","Infrastructure","Information Systems","2024-01-01","2025-07-01","Franck KOUDA","50000","0"
"56","ISPRJ-29","Data Hub dev portal v2","Draft","Data & Middleware","Information Systems","2025-07-01","2026-01-01","Yann GOURDEL","0","110000"
"57","ISPRJ-52","Polaris Technical 2025","Completed","Data & Middleware","Commercial","2025-10-01","2026-01-01","Adam BUCKLEY-JONES","0","0"
"58","ISPRJ-46","Improve TACT For Seat reallocation and Seat blockage","Completed","Customer","Operations","2025-04-01","2025-07-01","Gauthier LANGLOIS","0","120000"
"59","ISPRJ-42","e320 Availability SLA","Draft","Data & Middleware","Operations","2025-10-01","2025-10-01","Adam BUCKLEY-JONES","0","0"
"60","ISPRJ-23","Fraud Analytics & Prevention System","Draft","Data & Middleware","Finance","2025-07-01","2026-01-01","Adam BUCKLEY-JONES","0","97500"
"61","ISPRJ-45","Data Hub recovery automation","Draft","Data & Middleware","Information Systems","2025-10-01","2025-10-01","Yann GOURDEL","0","150000"
"62","ISPRJ-47","Merge Hotel/Taxi disruption tools (merge of DPAX and Self Service)","Draft","Customer","Operations","2026-01-01","2026-01-01","Maël DELMAS","0","0"
"63","ISPRJ-36","Polaris Reporting 2025","Draft","Data & Middleware","Commercial","2025-10-01","2026-01-01","Alicja MATUSZAK","0","97500"
"64","ISPRJ-68","Privilege Access Mgt + IDAM","Draft","Cyber Security","Information Systems","2024-01-01","2026-01-01","Sophie Veron","84000","0"
"65","ISPRJ-49","SD WAN execution (RFP)","Completed","Infrastructure","Information Systems","2024-01-01","2025-07-01","Benoît RONVAUX","0","0"
"66","ISPRJ-7","Wheels Analytics","Draft","Data & Middleware","Rolling Stock","2025-01-01","2026-01-01","Adam BUCKLEY-JONES","0","76200"
"67","ISPRJ-92","SD WAN Execution (Cato/COLT)","Draft","Infrastructure","Information Systems","2025-10-01","2026-01-01","Benoît RONVAUX","0","0"
"68","ISPRJ-60","eROSTER+","Draft","Operations","Operations","2024-01-01","2025-10-01","Patricia SOUEID","0","50004"
"69","ISPRJ-51","Revenue Management: new system (Cazyn)","Completed","Customer","Commercial","2025-01-01","2025-01-01","James HAYWARD","0","51656"
"70","ISPRJ-108","Polaris 2026","Draft","Data & Middleware","Commercial","2026-01-01","2026-01-01","Paolo RODEGHIERO","0","0"
"71","ISPRJ-15","Chatbot Enhancements 2026","Draft","Digital Technology","Commercial","2024-01-01","2026-01-01","Colin JAMES","0","67500"
"72","ISPRJ-26","NPS & Operations Analytics","Draft","Data & Middleware","Operations","2025-10-01","2026-01-01","Adam BUCKLEY-JONES","0","0"
"73","ISPRJ-82","SVOC decommission","Completed","Data & Middleware","Information Systems","2025-04-01","2025-07-01","Yann GOURDEL","0","0"
"74","ISPRJ-50","Customer Services KPI Analytics","Completed","Data & Middleware","Commercial","2025-04-01","2024-10-01","Adam BUCKLEY-JONES","0","0"
"75","ISPRJ-57","EES","Completed","Digital Technology","Station","2024-01-01","2025-07-01","Alasdair HAIGH","0","0"
"76","ISPRJ-109","Boomi/Mulesoft consolidation","Draft","Data & Middleware","Information Systems","2026-01-01","2026-01-01","Paolo RODEGHIERO","0","0"
"77","ISPRJ-13","T15 by Passenger Analytics","Completed","Data & Middleware","Operations","2025-04-01","2025-10-01","Adam BUCKLEY-JONES","0","45000"
"78","ISPRJ-83","Content Management strategy - BOX to Sharepoint Migration","Draft","Corp HR & Finance","Information Systems","2024-01-01","2026-01-01","John ZIEBART","0","0"
"79","ISPRJ-58","Fileshare Home Drive to OneDrive Migration","Draft","Infrastructure","Information Systems","2025-10-01","2026-01-01","Shafiq AHMED","0","227280"
"80","ISPRJ-59","iTM: iTM improvements for cross-channel TM","Completed","Customer","Operations","2025-04-01","2025-07-01","Maël DELMAS","0","77484"
"81","ISPRJ-2","New Fleet","Draft","Operations","Strategy","2026-01-01","","Hélène MBANGU","0","0"
"82","ISPRJ-93","SALESFORCE projects 2026 (reduced budget)","Draft","Customer","Commercial","2026-01-01","2026-01-01","Edward BONILLA","0","0"
"83","ISPRJ-64","Belt Belt Turnaround & Parking Analytics","Completed","Data & Middleware","Operations","2025-01-01","2025-04-01","Adam BUCKLEY-JONES","0","0"
"84","ISPRJ-62","SPI LAN Phase 2","Draft","Infrastructure","Station","2026-01-01","2027-01-01","Mathieu BALLOUCHE","0","226003"
"85","ISPRJ-63","Application security","Draft","Cyber Security","Information Systems","2026-01-01","2026-01-01","Sophie Veron","0","0"
"86","ISPRJ-77","""Enchainement"" project","Draft","Operations","Operations","2025-04-01","2026-01-01","Vladimir BRONNIKOV","0","200000"
"87","ISPRJ-24","SIMPLIFY","Completed","PMO","Strategy","2024-01-01","2025-10-01","Blanche DERKENNE","0","0"
"88","ISPRJ-66","SALESFORCE Reduce Average Handling Time (AHT in Customer Services)","Completed","Customer","Commercial","2025-04-01","2025-10-01","Edward BONILLA","125004","0"
"89","ISPRJ-79","Datalakehouse Kickoff","Completed","Data & Middleware","Information Systems","2025-01-01","2025-04-01","Adam BUCKLEY-JONES","0","90000"
"90","ISPRJ-53","FINOPS cloud cost Mgt","Completed","Infrastructure","Information Systems","2024-01-01","2025-10-01","Benoît RONVAUX","0","0"
"91","ISPRJ-11","Star (MASTERPLAN)","Draft","Operations","Operations","2025-10-01","2026-01-01","Andreea NICALAU","0","0"
"92","ISPRJ-43","Fiche Train v2","Draft","Operations","Operations","2025-04-01","2026-01-01","Samy BENHALLA","0","250000"
"93","ISPRJ-17","PICXEL (MASTERPLAN)","Draft","Operations","Operations","2025-07-01","2026-01-01","Gauthier DE LAVENNE","0","0"
"94","ISPRJ-94","Decommission Netsize","Completed","Operations","Operations","2025-01-01","2025-07-01","Gauthier DE LAVENNE","0","0"
"95","ISPRJ-95","Decommission CO Live","Completed","Operations","Operations","2025-01-01","2025-10-01","Gauthier DE LAVENNE","0","0"
"96","ISPRJ-96","Decommission Georame","Completed","Operations","Operations","2025-01-01","2025-04-01","Gauthier DE LAVENNE","0","0"
"97","ISPRJ-70","Masergy security appliances upgrade (Rapid 7)","Completed","Infrastructure","Information Systems","2024-01-01","2025-07-01","Franck KOUDA","5000","0"
"98","ISPRJ-88","New Brussels Offices","Draft","Infrastructure","Finance","2026-01-01","2026-01-01","Mathieu BALLOUCHE","0","0"
"99","ISPRJ-89","Connection NS","Draft","Digital Technology","Commercial","2025-01-01","2025-10-01","Xavier ROMANET","0","0"
"100","ISPRJ-80","Station Flow Prediction MVP","Completed","Customer","Station","2024-01-01","2025-07-01","Maël DELMAS","0","110000"
"101","ISPRJ-90","Packages DE","Draft","Digital Technology","Commercial","2025-01-01","2025-10-01","Xavier ROMANET","0","0"
"102","ISPRJ-69","PNO New Ticket Office Infra","Draft","Infrastructure","Station","2025-10-01","2026-01-01","Ben Gbeve","0","0"
"103","ISPRJ-72","Customer Service Milestones for Cases in Salesforce","Completed","Customer","Commercial","2025-01-01","2025-04-01","Edward BONILLA","0","0"
"104","ISPRJ-74","SPI Service Centre Refurbishment","Completed","Infrastructure","Station","2024-01-01","2025-04-01","Franck KOUDA","0","0"
"105","ISPRJ-71","Connect All v2","Completed","PMO","Information Systems","2025-01-01","2025-10-01","Mathys SAFFRE","0","0"
"106","ISPRJ-73","Printer replacement","Draft","Infrastructure","Information Systems","2025-01-01","2026-01-01","Shailendra SHARMA","0","0"
"107","ISPRJ-87","Rolling stock analytics equinox work orders","Completed","Data & Middleware","Rolling Stock","2025-07-01","2025-10-01","Paolo RODEGHIERO","0","0"
"108","ISPRJ-76","iAPI (Interactive Passenger Information)","Completed","Digital Technology","General Security","2024-01-01","2025-04-01","Maël DELMAS","0","0"
"109","ISPRJ-91","Decommission Cockpit, Localys, Daily order","Draft","Operations","Operations","2025-07-01","2026-01-01","Gauthier DE LAVENNE","0","0"
"110","ISPRJ-99","App store optimisation, chatbot in app, SEO to GEO","Draft","Digital Technology","Commercial","2025-01-01","2025-10-01","Xavier ROMANET","0","0"